question,answer,source,focus_area,category,is_relevant
What is (are) High Blood Pressure ?,"Older adults should limit their sodium (salt) intake to 1,500 mg a day. That's about 2/3 of a teaspoon of salt. Here are tips to reduce salt in your diet. - Buy fresh, plain frozen, or canned with no salt added vegetables. Choose foods packed in water instead of broth or salt.   -  Use fresh poultry, fish, and lean meat, rather than canned or processed types.  - Use herbs, spices, and salt-free seasoning blends in cooking and at the table.  - Cook rice, pasta, and hot cereal without salt. Cut back on instant or flavored rice, pasta, and cereal mixes, which usually have added salt.  - Choose convenience foods that are low in sodium. Cut back on frozen dinners, pizza, packaged mixes, canned soups or broths, and salad dressingsthese often have a lot of sodium.  - Rinse canned foods, such as tuna, to remove some sodium.  - When available, buy low- or reduced-sodium or no-salt-added versions of foods.   - Choose ready-to-eat breakfast cereals that are low in sodium.  Buy fresh, plain frozen, or canned with no salt added vegetables. Choose foods packed in water instead of broth or salt. Use fresh poultry, fish, and lean meat, rather than canned or processed types. Use herbs, spices, and salt-free seasoning blends in cooking and at the table. Cook rice, pasta, and hot cereal without salt. Cut back on instant or flavored rice, pasta, and cereal mixes, which usually have added salt. Choose convenience foods that are low in sodium. Cut back on frozen dinners, pizza, packaged mixes, canned soups or broths, and salad dressingsthese often have a lot of sodium. Rinse canned foods, such as tuna, to remove some sodium. When available, buy low- or reduced-sodium or no-salt-added versions of foods. Choose ready-to-eat breakfast cereals that are low in sodium.",NIHSeniorHealth,High Blood Pressure,Cardiovascular,True
How many people are affected by Osteoarthritis ?,The chance of developing osteoarthritis increases with age. It is estimated that 33.6% (12.4 million) of individuals age 65 and older are affected by the disease.,NIHSeniorHealth,Osteoarthritis,Musculoskeletal,True
What are the treatments for Colorectal Cancer ?,"For surgery, the main side effects are short-term pain and tenderness around the area of the operation. For chemotherapy, the side effects depend on which drugs you take and what the dosages are. Most often the side effects include nausea, vomiting, and hair loss. For radiation therapy, fatigue, loss of appetite, nausea, and diarrhea may occur. There are many new drugs that have greatly reduced the degree of nausea that used to be experienced because of some of these treatments.",NIHSeniorHealth,Colorectal Cancer,Gastrointestinal,True
How to prevent Polycystic Kidney Disease ?,"Scientists have not yet found a way to prevent PKD. However, people with PKD may slow the progression of kidney damage caused by high blood pressure through lifestyle changes, diet, and blood pressure medications. People with PKD should be physically active 30 minutes a day most days of the week. See Eating, Diet, and Nutrition for diet advice on lowering blood pressure and slowing the progression of kidney disease in general. If lifestyle and diet changes do not control a persons blood pressure, a health care provider may prescribe one or more blood pressure medications, including ACE inhibitors or ARBs.",NIDDK,Polycystic Kidney Disease,Kidney/Renal,True
What is (are) Wilson Disease ?,"The liver is the bodys largest internal organ. The liver is called the bodys metabolic factory because of the important role it plays in metabolismthe way cells change food into energy after food is digested and absorbed into the blood. The liver has many important functions, including
                
- taking up, storing, and processing nutrients from foodincluding fat, sugar, and proteinand delivering them to the rest of the body when needed.  - making new proteins, such as clotting factors and immune factors.  - producing bile. In addition to carrying toxins and waste products out of the body, bile helps the body digest fats and the fat-soluble vitamins A, D, E, and K.  - removing waste products the kidneys cannot remove, such as fats, cholesterol, toxins, and medications.
                
A healthy liver is necessary for survival. The liver can regenerate most of its own cells when they become damaged. However, if injury to the liver is too severe or long lasting, regeneration is incomplete and the liver creates scar tissue.",NIDDK,Wilson Disease,Endocrine/Metabolic,True
How many people are affected by Urinary Tract Infections in Children ?,Urinary tract infections affect about 3 percent of children in the United States every year. UTIs account for more than 1 million visits to pediatricians offices every year.1,NIDDK,Urinary Tract Infections in Children,Kidney/Renal,True
How to diagnose Endometrial Cancer ?,"Tests that examine the endometrium are used to detect (find) and diagnose endometrial cancer. Because endometrial cancer begins inside the uterus, it does not usually show up in the results of a Pap test. For this reason, a sample of endometrial tissue must be removed and checked under a microscope to look for cancer cells. One of the following procedures may be used:         -   Endometrial biopsy : The removal of tissue from the endometrium (inner lining of the uterus) by inserting a thin, flexible tube through the cervix and into the uterus. The tube is used to gently scrape a small amount of tissue from the endometrium and then remove the tissue samples. A pathologist views the tissue under a microscope to look for cancer cells.    -   Dilatation and curettage : A procedure to remove samples of tissue from the inner lining of the uterus. The cervix is dilated and a curette (spoon-shaped instrument) is inserted into the uterus to remove tissue. The tissue samples are checked under a microscope for signs of disease. This procedure is also called a D&C.    -  Hysteroscopy: A procedure to look inside the uterus for abnormal areas. A hysteroscope is inserted through the vagina and cervix into the uterus. A hysteroscope is a thin, tube-like instrument with a light and a lens for viewing. It may also have a tool to remove tissue samples, which are checked under a microscope for signs of cancer.        Other tests and procedures used to diagnose endometrial cancer include the following:         -   Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patients health habits and past illnesses and treatments will also be taken.    -   Transvaginal ultrasound exam: A procedure used to examine the vagina, uterus, fallopian tubes, and bladder. An ultrasound transducer (probe) is inserted into the vagina and used to bounce high-energy sound waves (ultrasound) off internal tissues or organs and make echoes. The echoes form a picture of body tissues called a sonogram. The doctor can identify tumors by looking at the sonogram.",CancerGov,Endometrial Cancer,Unrelated,False
How to prevent Short Bowel Syndrome ?,"People can ask their health care providers about surgical techniques that minimize scar tissue. Scientists have not yet found a way to prevent short bowel syndrome that is present at birth, as its cause is unknown.",NIDDK,Short Bowel Syndrome,Gastrointestinal,True
What is the outlook for Alzheimer's Disease ?,"In very few families, people develop AD in their 30s, 40s, and 50s. This is known as ""early onset"" AD. These individuals have a mutation in one of three different inherited genes that causes the disease to begin at an earlier age. More than 90 percent of AD develops in people older than 65. This form of AD is called ""late-onset"" AD, and its development and pattern of damage in the brain is similar to that of early-onset AD. The course of this disease varies from person to person, as does the rate of decline. In most people with AD, symptoms first appear after age 65.
                
We don't yet completely understand the causes of late-onset AD, but they probably include genetic, environmental, and lifestyle factors. Although the risk of developing AD increases with age, AD and dementia symptoms are not a part of normal aging. There are also some forms of dementia that aren't related to brain diseases such as AD, but are caused by systemic abnormalities such as metabolic syndrome, in which the combination of high blood pressure, high cholesterol, and diabetes causes confusion and memory loss.",NINDS,Alzheimer's Disease,Neurological,True
What is (are) Lung Cancer ?,"How Tumors Form The body is made up of many types of cells. Normally, cells grow, divide, and produce more cells as needed to keep the body healthy and functioning properly. Sometimes, however, the process goes wrong and cells become abnormal, forming more cells in an uncontrolled way. These extra cells form a mass of tissue, called a growth or tumor. Tumors can be benign, which means not cancerous, or malignant, which means cancerous. Lung cancer occurs when a tumor forms in the tissue of the lung. The Leading Cause of Cancer Death  Lung cancer is the leading cause of cancer death in men and women in the United States. Experts estimate that over 200,000 new cases of lung cancer will be diagnosed each year slightly more cases in men than women. Over 150,000 Americans die of the disease each year. Lung cancer occurs most often between the ages of 55 and 65. (Watch the videos on this page to learn more about lung cancer. To enlarge the videos, click the brackets in the lower right-hand corner of the video screen. To reduce the videos, press the Escape (Esc) button on your keyboard.) Two Major Types of Lung Cancer There are two major types of lung cancer -- non-small cell lung cancer and small cell lung cancer. Each type of lung cancer grows and spreads in different ways, and each is treated differently. - Non-small cell lung cancer is more common than small cell lung cancer.  - Small cell lung cancer grows more quickly and is more likely to spread to other organs in the body.  Non-small cell lung cancer is more common than small cell lung cancer. Small cell lung cancer grows more quickly and is more likely to spread to other organs in the body.  Learn more about non-small cell lung cancer.   Learn more about small cell lung cancer.  Lung Cancer Can Spread Lung cancer may spread to the lymph nodes or other tissues in the chest, including the lung opposite to where it originated. It may also spread to other organs of the body, such as the bones, brain, or liver. When cancer spreads from its original location in the lung to another part of the body such as the brain, it is called metastatic lung cancer, not brain cancer. Doctors sometimes call this distant disease. Smoking and Lung Cancer  Lung cancer would occur much less often if people did not smoke. The good news is that smoking is not as popular as it used to be. In 1965 about 42 percent of all adults smoked, but as of 2012, slightly less than 17 percent of people 18 and older smoked cigarettes. Also, since the 1990s there has been a steady drop in lung cancer deaths among men, mainly because fewer men are smoking, and since the turn of the century, lung cancer deaths in women have been slowly declining. Cigarette smoking rates had been dropping steadily in the 1990s and had started to level off at the start of the 21st century but the latest figures show a continued decline. The bad news is that other forms of tobacco use have shown some revival, but mainly in younger populations. The bad news is that smoking rates, which were dropping, have stopped declining in recent years. Smoking by young adults actually increased by 73 percent in the 1990s but has shown a downturn or leveling off in the past few years.",NIHSeniorHealth,Lung Cancer,Respiratory,True
What is (are) Balance Problems ?,"A balance disorder is a disturbance of the body systems controlling balance. This disturbance can make people feel dizzy, unsteady, or as if they were spinning. Balance disorders are a common cause of falls and fall-related injuries, such as hip fractures.",NIHSeniorHealth,Balance Problems,Neurological,True
What is (are) Kidney Dysplasia ?,"The kidneys are two bean-shaped organs, each about the size of a fist. They are located just below the rib cage, one on each side of the spine. Every day, the two kidneys filter about 120 to 150 quarts of blood to produce about 1 to 2 quarts of urine, which is composed of wastes and extra fluid. Children produce less urine than adultsthe amount they produce depends on their age. The urine flows from the kidneys to the bladder through the two ureters, one on each side of the bladder. The bladder stores urine. The muscles of the bladder wall remain relaxed while the bladder fills with urine. As the bladder fills to capacity, signals sent to the brain tell a person to find a toilet soon. When the bladder empties, urine flows out of the body through a tube called the urethra, located at the bottom of the bladder.
                
The kidneys, ureters, bladder, and urethra are parts of the urinary tract. More information is provided in the NIDDK health topics, the kidneys and the urinary tract.",NIDDK,Kidney Dysplasia,Kidney/Renal,True
What are the treatments for Prostate Cancer ?,"Surgery, radiation therapy, and hormonal therapy all have the potential to disrupt sexual desire or performance for a short while or permanently. Discuss your concerns with your health care provider. Several options are available to help you manage sexual problems related to prostate cancer treatment.",NIHSeniorHealth,Prostate Cancer,Unrelated,False
What is (are) Tendinitis ?,"Tendons are flexible bands of tissue that connect muscles to bones. They help your muscles move your bones. Tendinitis is the severe swelling of a tendon.    Tendinitis usually happens after repeated injury to an area such as the wrist or ankle. It causes pain and soreness around a joint. Some common forms of tendinitis are named after the sports that increase their risk. They include tennis elbow, golfer's elbow, pitcher's shoulder, swimmer's shoulder, and jumper's knee.    Doctors diagnose tendinitis with your medical history, a physical exam, and imaging tests. The first step in treatment is to reduce pain and swelling. Rest, wrapping or elevating the affected area, and medicines can help. Ice is helpful for recent, severe injuries. Other treatments include ultrasound, physical therapy, steroid injections, and surgery.",MPlusHealthTopics,Tendinitis,Musculoskeletal,True
How to diagnose Gallstones ?,"A health care provider will usually order an ultrasound exam to diagnose gallstones. Other imaging tests may also be used.
                
- Ultrasound exam. Ultrasound uses a device, called a transducer, that bounces safe, painless sound waves off organs to create an image of their structure. A specially trained technician performs the procedure in a health care providers offi ce, outpatient center, or hospital, and a radiologista doctor who specializes in medical imaginginterprets the images. Anesthesia is not needed. If gallstones are present, they will be visible in the image. Ultrasound is the most accurate method to detect gallstones.  - Computerized tomography (CT) scan. A CT scan is an x ray that produces pictures of the body. A CT scan may include the injection of a special dye, called contrast medium. CT scans use a combination of x rays and computer technology to create three-dimensional (3-D) images. CT scans require the person to lie on a table that slides into a tunnel-shaped device where the x rays are taken. An x-ray technician performs the procedure in an outpatient center or hospital, and a radiologist interprets the images. Anesthesia is not needed. CT scans can show gallstones or complications, such as infection and blockage of the gallbladder or bile ducts. However, CT scans can miss gallstones that are present.  - Magnetic resonance imaging (MRI). MRI machines use radio waves and magnets to produce detailed pictures of the bodys internal organs and soft tissues without using x rays. A specially trained technician performs the procedure in an outpatient center or hospital, and a radiologist interprets the images. Anesthesia is not needed, though people with a fear of confi ned spaces may receive light sedation. An MRI may include the injection of contrast medium. With most MRI machines, the person lies on a table that slides into a tunnel-shaped device that may be open ended or closed at one end; some newer machines allow the person to lie in a more open space. MRIs can show gallstones in the ducts of the biliary system.  - Cholescintigraphy. Cholescintigraphyalso called a hydroxyl iminodiacetic acid scan, HIDA scan, or hepatobiliary scanuses an unharmful radioactive material to produce pictures of the biliary system. In cholescintigraphy, the person lies on an exam table and a health care provider injects a small amount of unharmful radioactive material into a vein in the persons arm. The health care provider may also inject a substance that causes the gallbladder to contract. A special camera takes pictures of the radioactive material as it moves through the biliary system. A specially trained technician performs the procedure in an outpatient center or hospital, and a radiologist interprets the images. Anesthesia is not needed. Cholescintigraphy is used to diagnose abnormal contractions of the gallbladder or obstruction of the bile ducts.   - Endoscopic retrograde cholangiopancreatography (ERCP). ERCP uses an x ray to look into the bile and pancreatic ducts. After lightly sedating the person, the health care provider inserts an endoscopea small,  flexible tube with a light and a camera on the endthrough the mouth into the duodenum and bile ducts. The endoscope is connected to a computer and video monitor. The health care provider injects contrast medium through the tube into the bile ducts, which makes the ducts show up on the monitor. The health care provider performs the procedure in an outpatient center or hospital. ERCP helps the health care provider locate the affected bile duct and the gallstone. The stone is captured in a tiny basket attached to the endoscope and removed. This test is more invasive than other tests and is used selectively.
                
Health care providers also use blood tests to look for signs of infection or in flammation of the bile ducts, gallbladder, pancreas, or liver. A blood test involves drawing blood at a health care providers offi ce or commercial facility and sending the sample to a lab for analysis.
                
Gallstone symptoms may be similar to those of other conditions, such as appendicitis, ulcers, pancreatitis, and gastroesophageal refl ux disease.
                
Sometimes, silent gallstones are found when a person does not have any symptoms. For example, a health care provider may notice gallstones when performing ultrasound for a different reason.",NIDDK,Gallstones,Gastrointestinal,True
What is (are) Parkinson's Disease ?,"Deep brain stimulation, or DBS, is a surgical procedure used to treat a variety of disabling disorders. It is most commonly used to treat the debilitating symptoms of Parkinsons disease. Deep brain stimulation uses an electrode surgically implanted into part of the brain. The electrodes are connected under the skin to a small electrical device called a pulse generator, implanted in the chest. The generator and electrodes painlessly stimulate the brain to help stop many Parkinson's symptoms such as tremor, bradykinesia, and rigidity. DBS is primarily used to stimulate one of three brain regions: the subthalamic nucleus, the globus pallidus, or the thalamus. Researchers are exploring optimal generator settings for DBS, whether DBS of other brain regions will also improve symptoms of Parkinsons disease, and also whether DBS may slow disease progression. Deep brain stimulation usually reduces the need for levodopa and related drugs, which in turn decreases dyskinesias and other side effects. It also helps to relieve ""on-off"" fluctuation of symptoms. People who respond well to treatment with levodopa, even if only for a short period, tend to respond well to DBS.",NIHSeniorHealth,Parkinson's Disease,Neurological,True
What is (are) Lung Cancer ?,"Lung cancer occurs when malignant tumors form in the tissue of the lung. The lungs are a pair of sponge-like organs. The right lung has three sections, called lobes, and is larger than the left lung, which has two lobes.",NIHSeniorHealth,Lung Cancer,Respiratory,True
"What is (are) Diabetes, Heart Disease, and Stroke ?","Two major types of heart and blood vessel disease, also called cardiovascular disease, are common in people with diabetes: coronary artery disease (CAD) and cerebral vascular disease. People with diabetes are also at risk for heart failure. Narrowing or blockage of the blood vessels in the legs, a condition called peripheral arterial disease, can also occur in people with diabetes.
                
Coronary Artery Disease
                
Coronary artery disease, also called ischemic heart disease, is caused by a hardening or thickening of the walls of the blood vessels that go to your heart. Your blood supplies oxygen and other materials your heart needs for normal functioning. If the blood vessels to your heart become narrowed or blocked by fatty deposits, the blood supply is reduced or cut off, resulting in a heart attack.
                
Cerebral Vascular Disease
                
Cerebral vascular disease affects blood flow to the brain, leading to strokes and TIAs. It is caused by narrowing, blocking, or hardening of the blood vessels that go to the brain or by high blood pressure.
                
Stroke
                
A stroke results when the blood supply to the brain is suddenly cut off, which can occur when a blood vessel in the brain or neck is blocked or bursts. Brain cells are then deprived of oxygen and die. A stroke can result in problems with speech or vision or can cause weakness or paralysis. Most strokes are caused by fatty deposits or blood clotsjelly-like clumps of blood cellsthat narrow or block one of the blood vessels in the brain or neck. A blood clot may stay where it formed or can travel within the body. People with diabetes are at increased risk for strokes caused by blood clots.
                
A stroke may also be caused by a bleeding blood vessel in the brain. Called an aneurysm, a break in a blood vessel can occur as a result of high blood pressure or a weak spot in a blood vessel wall.
                
TIAs
                
TIAs are caused by a temporary blockage of a blood vessel to the brain. This blockage leads to a brief, sudden change in brain function, such as temporary numbness or weakness on one side of the body. Sudden changes in brain function also can lead to loss of balance, confusion, blindness in one or both eyes, double vision, difficulty speaking, or a severe headache. However, most symptoms disappear quickly and permanent damage is unlikely. If symptoms do not resolve in a few minutes, rather than a TIA, the event could be a stroke. The occurrence of a TIA means that a person is at risk for a stroke sometime in the future. See page 3 for more information on risk factors for stroke.
                
Heart Failure
                
Heart failure is a chronic condition in which the heart cannot pump blood properlyit does not mean that the heart suddenly stops working. Heart failure develops over a period of years, and symptoms can get worse over time. People with diabetes have at least twice the risk of heart failure as other people. One type of heart failure is congestive heart failure, in which fluid builds up inside body tissues. If the buildup is in the lungs, breathing becomes difficult.
                
Blockage of the blood vessels and high blood glucose levels also can damage heart muscle and cause irregular heart beats. People with damage to heart muscle, a condition called cardiomyopathy, may have no symptoms in the early stages, but later they may experience weakness, shortness of breath, a severe cough, fatigue, and swelling of the legs and feet. Diabetes can also interfere with pain signals normally carried by the nerves, explaining why a person with diabetes may not experience the typical warning signs of a heart attack.
                
Peripheral Arterial Disease
                
Another condition related to heart disease and common in people with diabetes is peripheral arterial disease (PAD). With this condition, the blood vessels in the legs are narrowed or blocked by fatty deposits, decreasing blood flow to the legs and feet. PAD increases the chances of a heart attack or stroke occurring. Poor circulation in the legs and feet also raises the risk of amputation. Sometimes people with PAD develop pain in the calf or other parts of the leg when walking, which is relieved by resting for a few minutes.",NIDDK,"Diabetes, Heart Disease, and Stroke",Cardiovascular,True
How to prevent Balance Problems ?,"An ear infection called otitis media can cause balance problems. Otitis media is most common in children, but adults can get it, too. You can help prevent otitis media by washing your hands frequently. Also, talk to your doctor about getting a yearly flu shot to stave off flu-related ear infections. If you do get an ear infection, see a doctor immediately before it becomes more serious. Learn more about otitis media and other ear infections.  (Centers for Disease Control and Prevention)",NIHSeniorHealth,Balance Problems,Neurological,True
Is Lupus inherited ?,"Is lupus inherited? The Lupus Foundation of American has a page called Is lupus hereditary? that provides a good overview. They also have a Genetics page for all of their content tagged as related to genetics. Medscape Reference has an in-depth review of the genetics of lupus that was written for healthcare professionals but can be useful to anyone looking for detailed information. You may have to register to view the article, but registration is free.",GARD,Lupus,Musculoskeletal,True
what research (or clinical trials) is being done for Prostate Cancer ?,"New types of treatment are being tested in clinical trials.
                    This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI website.     Cryosurgery     Cryosurgery is a treatment that uses an instrument to freeze and destroy prostate cancer cells. Ultrasound is used to find the area that will be treated. This type of treatment is also called cryotherapy.    Cryosurgery can cause impotence and leakage of urine from the bladder or stool from the rectum.       High-intensityfocused ultrasound therapy     High-intensityfocused ultrasound therapy is a treatment that uses ultrasound (high-energy sound waves) to destroy cancer cells. To treat prostate cancer, an endorectal probe is used to make the sound waves.       Proton beam radiation therapy     Proton beam radiation therapy is a type of high-energy, external radiation therapy that targets tumors with streams of protons (small, positively charged particles). This type of radiation therapy is being studied in the treatment of prostate cancer.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.",CancerGov,Prostate Cancer,Unrelated,False
What is (are) Kidney Cancer ?,"You have two kidneys. They are fist-sized organs on either side of your backbone above your waist. The tubes inside filter and clean your blood, taking out waste products and making urine. Kidney cancer forms in the lining of tiny tubes inside your kidneys.     Kidney cancer becomes more likely as you age. Risk factors include smoking, having certain genetic conditions, and misusing pain medicines for a long time.    You may have no symptoms at first. They may appear as the cancer grows. See your health care provider if you notice       - Blood in your urine    - A lump in your abdomen    - Weight loss for no reason    - Pain in your side that does not go away    - Loss of appetite       Treatment depends on your age, your overall health and how advanced the cancer is. It might include surgery, chemotherapy, or radiation, biologic, or targeted therapies. Biologic therapy boosts your body's own ability to fight cancer. Targeted therapy uses substances that attack cancer cells without harming normal cells.    NIH: National Cancer Institute",MPlusHealthTopics,Kidney Cancer,Kidney/Renal,True
What is (are) Chronic Kidney Disease ?,"You have two kidneys, each about the size of your fist. Their main job is to filter wastes and excess water out of your blood to make urine. They also keep the body's chemical balance, help control blood pressure, and make hormones.    Chronic kidney disease (CKD) means that your kidneys are damaged and can't filter blood as they should. This damage can cause wastes to build up in your body. It can also cause other problems that can harm your health. Diabetes and high blood pressure are the most common causes of CKD.    Treatment may include medicines to lower blood pressure, control blood glucose, and lower blood cholesterol. CKD can get worse over time. CKD may lead to kidney failure. The only treatment options for kidney failure are dialysis or a kidney transplantation.    You can take steps to keep your kidneys healthier longer:       - Choose foods with less salt (sodium)    - Keep your blood pressure below 130/80    - Keep your blood glucose in the target range, if you have diabetes       NIH: National Institute of Diabetes and Digestive and Kidney Diseases",MPlusHealthTopics,Chronic Kidney Disease,Kidney/Renal,True
How to prevent Hemochromatosis ?,"You can't prevent primary, or inherited, hemochromatosis. However, not everyone who inherits hemochromatosis genes develops symptoms or complications of the disease. In those who do, treatments can keep the disease from getting worse.
                
Treatments include therapeutic phlebotomy, iron chelation therapy, dietary changes, and other treatments. For more information, go to ""How Is Hemochromatosis Treated?""
                
People who have hemochromatosis (or a family history of it) and are planning to have children may want to consider genetic testing and counseling. Testing will help show whether one or both parents have faulty HFE genes. A genetic counselor also can help figure out the likelihood of the parents passing the faulty genes on to their children.",NHLBI,Hemochromatosis,Endocrine/Metabolic,True
What is the outlook for Parkinson's Disease ?,"PD is both chronic, meaning it persists over a long period of time, and progressive, meaning its symptoms grow worse over time. Although some people become severely disabled, others experience only minor motor disruptions. Tremor is the major symptom for some individuals, while for others tremor is only a minor complaint and other symptoms are more troublesome. It is currently not possible to predict which symptoms will affect an individual, and the intensity of the symptoms also varies from person to person.",NINDS,Parkinson's Disease,Neurological,True
What are the symptoms of Rheumatoid Arthritis ?,"Swelling and Pain in the Joints Different types of arthritis have different symptoms. In general, people with most forms of arthritis have pain and stiffness in their joints. Rheumatoid arthritis is characterized by inflammation of the joint lining. This inflammation causes warmth, redness, swelling, and pain around the joints. A person also feels sick, tired, and sometimes feverish. Rheumatoid arthritis generally occurs in a symmetrical pattern. If one knee or hand is affected, the other one is also likely to be affected. Diagnostic Tests Rheumatoid arthritis can be difficult to diagnose in its early stages for several reasons. There is no single test for the disease. In addition, symptoms differ from person to person and can be more severe in some people than in others. Common tests for rheumatoid arthritis include - The rheumatoid factor test. Rheumatoid factor is an antibody that is present eventually in the blood of most people with rheumatoid arthritis However, not all people with rheumatoid arthritis test positive for rheumatoid factor, especially early in the disease. Also, some people who do test positive never develop the disease. The rheumatoid factor test. Rheumatoid factor is an antibody that is present eventually in the blood of most people with rheumatoid arthritis However, not all people with rheumatoid arthritis test positive for rheumatoid factor, especially early in the disease. Also, some people who do test positive never develop the disease. -  The citrulline antibody test. This blood test detects antibodies to cyclic citrullinated peptide (anti-CCP). This test is positive in most people with rheumatoid arthritis and can even be positive years before rheumatoid arthritis symptoms develop. When used with the rheumatoid factor test, the citrulline antibody test results are very useful in confirming a rheumatoid arthritis diagnosis.  The citrulline antibody test. This blood test detects antibodies to cyclic citrullinated peptide (anti-CCP). This test is positive in most people with rheumatoid arthritis and can even be positive years before rheumatoid arthritis symptoms develop. When used with the rheumatoid factor test, the citrulline antibody test results are very useful in confirming a rheumatoid arthritis diagnosis. Other common tests for rheumatoid arthritis include - the erythrocyte sedimentation rate, which indicates the presence of inflammation in the body  - a test for white blood cell count and  - a blood test for anemia.  the erythrocyte sedimentation rate, which indicates the presence of inflammation in the body a test for white blood cell count and a blood test for anemia. Diagnosis Can Take Time Symptoms of rheumatoid arthritis can be similar to those of other types of arthritis and joint conditions, and it may take some time to rule out other conditions. The full range of symptoms develops over time, and only a few symptoms may be present in the early stages. Learn more about how rheumatoid arthritis is diagnosed.",NIHSeniorHealth,Rheumatoid Arthritis,Musculoskeletal,True
What are the treatments for Prostate Cancer ?,"Hormonal therapy deprives cancer cells of the male hormones they need to grow and survive. This treatment is often used for prostate cancer that has spread to other parts of the body. Sometimes doctors use hormonal therapy to try to keep the cancer from coming back after surgery or radiation treatment. Side effects can include impotence, hot flashes, loss of sexual desire, and thinning of bones.",NIHSeniorHealth,Prostate Cancer,Unrelated,False
What are the treatments for Stroke ?,"Generally there are three treatment stages for stroke: prevention, therapy immediately after the stroke, and post-stroke rehabilitation. Therapies to prevent a first or recurrent stroke are based on treating an individual's underlying risk factors for stroke, such as hypertension, atrial fibrillation, and diabetes. Acute stroke therapies try to stop a stroke while it is happening by quickly dissolving the blood clot causing an ischemic stroke or by stopping the bleeding of a hemorrhagic stroke. Post-stroke rehabilitation helps individuals overcome disabilities that result from stroke damage. Medication or drug therapy is the most common treatment for stroke. The most popular classes of drugs used to prevent or treat stroke are antithrombotics (antiplatelet agents and anticoagulants) and thrombolytics.",NINDS,Stroke,Cardiovascular,True
what research (or clinical trials) is being done for Alzheimer's Disease ?,"Basic research helps scientists gain new knowledge about a disease process, including how and why it starts and progresses. In Alzheimers disease, basic research seeks to identify the cellular, molecular, and genetic processes that lead to the disease. For example, scientists are studying - the ways in which plaques and tangles damage nerve cells in the brain  - the very earliest brain changes in the disease process  - the role of Alzheimers risk-factor genes in the development of the disease  - how risk-factor genes interact with other genes and lifestyle or environmental factors to affect Alzheimers risk. the ways in which plaques and tangles damage nerve cells in the brain the very earliest brain changes in the disease process the role of Alzheimers risk-factor genes in the development of the disease how risk-factor genes interact with other genes and lifestyle or environmental factors to affect Alzheimers risk. See the latest Alzheimers Disease Progress Report to read about results of NIA-supported Alzheimers research.",NIHSeniorHealth,Alzheimer's Disease,Neurological,True
What is (are) Osteoporosis ?,"Consider talking to your doctor about being evaluated for osteoporosis if - you are a man or woman over age 50 or a postmenopausal woman and you break a bone  - you are a woman age 65 or older  - you are a woman younger than 65 and at high risk for fractures   - you have lost height, developed a stooped or hunched posture, or experienced sudden back pain with no apparent cause  - you have been taking glucocorticoid medications such as prednisone, cortisone, or dexamethasone for 2 months or longer or are taking other medications known to cause bone loss   - you have a chronic illness or are taking a medication that is known to cause bone loss   - you have anorexia nervosa or a history of this eating disorder.  - you are a premenopausal woman, not pregnant, and your menstrual periods have stopped, are irregular, or never started when you reached puberty.  you are a man or woman over age 50 or a postmenopausal woman and you break a bone you are a woman age 65 or older you are a woman younger than 65 and at high risk for fractures you have lost height, developed a stooped or hunched posture, or experienced sudden back pain with no apparent cause you have been taking glucocorticoid medications such as prednisone, cortisone, or dexamethasone for 2 months or longer or are taking other medications known to cause bone loss you have a chronic illness or are taking a medication that is known to cause bone loss you have anorexia nervosa or a history of this eating disorder. you are a premenopausal woman, not pregnant, and your menstrual periods have stopped, are irregular, or never started when you reached puberty.  Here is how to find an appropriate health care professional to treat osteoporosis.",NIHSeniorHealth,Osteoporosis,Musculoskeletal,True
